kanji,kana,meaningZh,exampleJa,exampleZh
突然,とつぜん ⓪,突然,突然大雨が降り出しました。,突然下起了大雨。
大雨,おおあめ ③,大雨,今日は大雨の恐れがあります。,今天可能有大雨。
人々,ひとびと ②,人们,多くの人々がそのイベントに参加した。,许多人参加了那个活动。
慌てる,あわてる ⓪,急忙、慌张,時間がなくて慌てて家を出ました。,因为没时间，慌慌张张地出门了。
短気,たんき ①,急性子、没耐心,彼は短気な性格なので、すぐ怒る。,他是急性子，所以很快就生气。
付き合う,つきあう ③,交往、陪伴,彼女と三年間付き合っています。,和她交往了三年。
夢中,むちゅう ⓪,热衷、入迷、忘我,彼は漫画を読むのに夢中だ。,他正沉迷于看漫画。
険しい,けわしい ③,险峻的、严峻的,富士山への道は険しいですが、最高です。,富士山的路很险峻，但景色很棒。
酸素,さんそ ①,氧气,頂上に近づくと、酸素が薄くなります。,接近山顶时，氧气会变得稀薄。
薄い,うすい ⓪,薄的、稀薄的,高い山の上では、空気が薄いです。,在高山上空气很稀薄。
登山,とざん ①,登山,週末、友達と一緒に登山に行きました。,周末和朋友一起去登山了。
届く,とどく ②,送到、到达,田舎の両親から荷物が届きました。,乡下父母寄来的包裹到了。
圏外,けんがい ⓪,服务区外,山の奥に入ると、携帯が圏外になった。,进入深山后，手机就没信号了。
文字,もじ ①,文字,この看板の文字は小さくて読みにくい。,这个看板上的文字太小，很难读。
電波,でんぱ ①,电波、信号,ここは電波の状態が悪くて、電話が切れる。,这里信号不好，电话断了。
反対,はんたい ⓪,反对,親に反対されましたが、留学を決めました。,虽然被父母反对，但我还是决定留学。
飼う,かう ①,饲养,マンションで大きな犬を飼うのは大変だ。,在公寓里养大狗很辛苦。
玄関,げんかん ①,玄关、门口,お客さんが来たので、玄関まで迎えに行った。,客人来了，所以我去玄关迎接。
しっぽ,しっぽ ③,尾巴,犬がうれしそうにしっぽを振っています。,狗正高兴地摇着尾巴。
全速力,ぜんそくりょく ④,全速,遅刻しそうだったので、全速力で走った。,快要迟到了，所以我全速奔跑。
近づく,ちかづく ③,接近,台風が近づいているので、注意してください。,台风正在接近，请注意。
恥ずかしい,はずかしい ④,害羞的、不好意思的,人前で失敗して、とても恥ずかしかった。,在众人面前失败了，觉得很不好意思。
立ち上がる,たちあがる ⓪,站起来,授業が終わると、学生たちは立ち上がった。,下课后，学生们站了起来。
勝手,かって ⓪,随意、任性,自分の勝手な判断で進めないでください。,请不要根据自己随意的判断进行。
断る,ことわる ③,拒绝,誘われましたが、都合が悪くて断りました。,被邀请了，但因为不方便而拒绝了。
努力,どりょく ①,努力,合格するためには、毎日の努力が必要だ。,为了合格，每天的努力是必要的。
利益,りえき ①,利益、利润,会社は去年に比べて、多くの利益を上げた。,公司比去年获得了更多的利润。
正常,せいじょう ⓪,正常,検査の結果、体の状態は正常でした。,检查结果显示，身体状况正常。
態度,たいど ①,态度,彼は仕事に対して、まじめな態度をとる。,他对待工作持有认真的态度。
精神,せいしん ①,精神、心理,強い精神を鍛えるために、訓練が必要です。,为了磨炼坚强的意志，训练是必要的。
正解,せいかい ⓪,正解、正确答案,難しい問題だったが、正解できた。,这是一个难题，但我答对了。
挨拶,あいさつ ①,问候、打招呼,近所の人に会ったら、挨拶をしましょう。,遇到邻居时，让我们打个招呼吧。
相手,あいて ③,对方、对手,会話の相手が誰かによって、敬語が変わる。,根据谈话对象的不同，敬语也会改变。
立場,たちば ③,立场、所处地位,相手の立場も考えることが大切です。,考虑对方的立场也是很重要的。
正式,せいしき ⓪,正式,契約が正式に結ばれるまで公表できません。,在合同正式签署之前无法公开。
請求,せいきゅう ⓪,请求、索取,サービスを利用して、料金の請求が来た。,使用服务后，收到了费用账单。
政治家,せいじか ⓪,政治家,彼は将来、政治家になりたいと考えている。,他考虑将来成为一名政治家。
首相,しゅしょう ⓪,首相,首相は会見で、新しい政策を説明した。,首相在招待会上说明了新政策。
世紀,せいき ①,世纪,21世紀は技術が急速に発展した時代だ。,21世纪是技术飞速发展的时代。
生産,せいさん ⓪,生产,この工場では、毎日一万台のカメラを作る。,这家工厂每天生产一万台相机。
成績,せいせき ⓪,成绩,彼は毎日勉強しているので、成績がいい。,因为他每天都学习，所以成绩很好。
出身,しゅっしん ⓪,出身、籍贯,田中さんの出身はどこですか。,田中先生的家乡在哪里？
退屈,たいくつ ⓪,无聊、厌倦,長い話を聞いているうちに、退屈した。,听长篇大论时，感到很无聊。
成功,せいこう ⓪,成功,プロジェクトが成功した時、全員で喜んだ。,项目成功时，全团队成员都很高兴。
性格,せいかく ⓪,性格,彼女は明るい性格で、誰とでも仲良くなる。,她性格开朗，和谁都能友好相处。
疑う,うたがう ⓪,怀疑,彼の話が本当かどうか、少し疑っている。,我对他所说的话是否属实持有一点怀疑。
羨ましい,うらやましい ④,羡慕,彼女の歌の才能が羨ましいと思う。,我很羡慕她的歌唱才能。
集中,しゅうちゅう ⓪,集中,周りがうるさくて、勉強に集中できない。,周围很吵，没法集中精力学习。
瞬間,しゅんかん ⓪,瞬间,流れ星を見た瞬間、願い事をした。,看到流星的瞬间许了愿。
愛情,あいじょう ⓪,爱情、爱慕,彼は子供に対して、深い愛情を持っている。,他对孩子们怀有深厚的慈爱。
移す,うつす ②,移动、转移,荷物を新しい部屋に移す作業を手伝った。,帮了忙把行李搬到新房间。
訴える,うったえる ③,诉诸、控告,騒音について、市役所に苦情を訴えた。,关于噪音，向市政府提出了投诉。
失う,うしなう ⓪,失去,事故で友人を失い、深い悲しみを感じた。,在事故中失去了朋友，感到悲伤。
伺う,うかがう ⓪,拜访、问候,明日の午後、先生の家を伺う予定です。,计划明天下午去拜访老师的家。
受け取る,うけとる ⓪,领取、收到,郵便局で小包を受け取るには、印鑑が必要だ。,在邮局领取包裹需要印章。
売れる,うれる ⓪,畅销,この商品は、発売と同時に飛ぶように売れた。,这个新产品一上市就非常畅销。
売り切れる,うりきれる ⓪,售罄,チケットは、十分足らずで売り切れた。,门票在不到十分钟内就售罄了。
埋める,うめる ⓪,填补、埋入,穴を土で埋めて、その上に木を植えた。,用土填埋了坑，并在上面种了树。
裏切る,うらぎる ③,背叛,信頼していた親友に裏切られてショックだ。,被信任的好友背叛，受到了打击。
動き出す,うごきだす ④,开始移动,信号が青に変わると、車が動き出した。,信号灯变绿后，汽车开始启动。
多分,たぶん ①,大概,空が暗いので、多分雨が降るでしょう。,天色很暗，大概会下雨吧。
互い,たがい ⓪,互相,困難な時は、お互いに助け合うことが大切。,困难的时候，互相帮助是很重要的。
直ちに,ただちに ①,立即,事件が発生したので、直ちに警察に通報した。,发生了事件，所以立即向警察报案了。
精々,せいぜい ①,充其量、最多,頑張っても、覚えられるのはせいぜい20個だ。,就算努力，能记住的充其量也就20个。
正確,せいかく ⓪,正确、精准,ニュースは、正確な情報を伝えるべきだ。,新闻应当传递准确的信息。
清潔,せいけつ ⓪,清洁,手を清潔に保つことは、病気の予防になる。,保持手部清洁能预防疾病。
大気,たいき ①,大气,工場の煙が、大気汚染の原因の一つだ。,工厂的烟雾是造成大气污染的原因之一。
大陸,たいりく ⓪,大陆,ユーラシア大陸は、世界で最も大きな大陸だ。,欧亚大陆是世界上面积最大的大陆。
体重,たいじゅう ⓪,体重,毎日決まった時間に体重を測っている。,每天在固定时间测量体重。
体温,たいおん ⓪,体温,病院に入る前に、体温を測った。,进入医院前测量了体温。
体育館,たいいくかん ④,体育馆,卒業式は、全校生徒が集まって体育館で行う。,毕业典礼在体育馆举行。
生命,せいめい ①,生命,医師たちは、一人の生命を救うために尽力した。,医生们为了挽救一个生命而努力。
準備,じゅんび ①,准备,出張の準備に、時間がかかってしまった。,准备出差花了不少时间。
間に合う,まにあう ③,来得及,急げば、10時の電車に間に合います。,快点的话，能赶上10点的电车。
失敗,しっぱい ⓪,失败,初めての料理は失敗したが、楽しかった。,第一次做饭失败了，但过程很开心。
増える,ふえる ②,增加,最近、この町に住む外国人が増えている。,最近，住在这个城镇的外国人正在增加。
詳しい,くわしい ③,详细的、精通的,あの店員さんは商品についてとても詳しい。,那位店员对商品非常熟悉。
